Reason (why not matched),Task name (Hubstaff),Project,ClickUp id tried,Hours
REMOTE_MISSING (id not in ClickUp),Peace Collective_Bank and card,Operations - Bravix / Finance Faheem_CPA (H),86cwzbn9v,67.0
REMOTE_MISSING (id not in ClickUp),AR Reconciliation: Daily Invoicing to Customers,"Ledger Labs, Inc. / Ponte_Shana",86cu24v7z,66.9
REMOTE_MISSING (id not in ClickUp),Daily: AP Recon- Bill add and Payment Reconcile,Onboarding Clients / Duvin_Garrett (F),86cyuzbbb,66.7
REMOTE_MISSING (id not in ClickUp),Inventory & COGS: Calculating & Adjusting,Operations - Bravix / Wisoman_Sonal (F),85ywaydkf,66.2
REMOTE_MISSING (id not in ClickUp),Emails AP Management: Review Daily AP Emails,Operations - Syndicate / Health_David (F),86cxman3f,66.1
REMOTE_MISSING (id not in ClickUp),AR & AP Management: Create Invoice & Bill as per Email,Operations - Synergy / Found_Bethany,85zt5xzd6,66.0
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Synergy / Master_Lloyd : Antfam Hospitality LLC (H),86curvxza,65.9
REMOTE_MISSING (id not in ClickUp),Bank & Credit Card Reconciliation: Daily Basis Reconciliation,"Ledger Labs, Inc. / Ponte_Shana",86cu24v6c,65.7
NO_REMOTE (native Hubstaff task),Missive,Operations - Synergy / 19Y Advisors_David,,65.7
REMOTE_MISSING (id not in ClickUp),Daily: Reconciliation Bank & Credit Card,Onboarding Clients / Duvin_Garrett (F),86cyv00t2,65.1
REMOTE_MISSING (id not in ClickUp),Maxx USA Inc :Bank & Credit Card Reconsciliation,Operations - Mavericks / Base_Bob (F),86cx9tmrx,64.5
REMOTE_MISSING (id not in ClickUp),Consolidated:-Status & Queries: Books Status & Fixing Queries,Operations - Synergy / Blind_Adam (H),86cznq9j6,63.4
REMOTE_MISSING (id not in ClickUp),Amazon Sale record and make SOP,Operations - Bravix / EpicRise_Lin (H),86cvyx83q,63.4
REMOTE_MISSING (id not in ClickUp),Peace Collective_Daily coding,Operations - Bravix / Finance Faheem_CPA (H),86cwzbndq,63.3
NO_TASK (project-level only),(no task - project level),Onboarding Clients / DocsDiesel_Max,,63.2
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 2100 N. AHMED (7602) - 1,Operations - Synergy / Master_Lloyd : Antfam Hospitality LLC (H),85ztpcb7w,62.9
REMOTE_MISSING (id not in ClickUp),AP Management: Prepare Weekly AP sheet,Operations - Bravix / Wisoman_Sonal (F),85ywhnjw4,62.8
REMOTE_MISSING (id not in ClickUp),Clearing Account Reconcile: Escrow - Home Hunters_Property Managment monthly MJE reconcile,Operations - Synergy / Master_Lloyd : Econo Homes LLC and Affiliates,85zrgf8d9,62.5
REMOTE_MISSING (id not in ClickUp),AR Management: Invoices Creation & Customer Reconciliation,Operations - Bravix / Wisoman_Sonal (F),2z597k9,62.4
REMOTE_MISSING (id not in ClickUp),IDream IT: IDream_Weekly Reconciliation,Operations - Synergy / IDream_Joseph (H),86cwc6r1g,61.8
REMOTE_MISSING (id not in ClickUp),NB - Team Training & Guidance,Operations - Falcons / NB Tasks - Falcons,86cv3p974,61.6
REMOTE_MISSING (id not in ClickUp),Reconciliation: Bank and Card,Operations - Synergy / Master_Lloyd : Antfam Hospitality LLC (H),86curvxfu,61.5
REMOTE_MISSING (id not in ClickUp),IDream IT: IDream_Weekly Invoicing,Operations - Synergy / IDream_Joseph (H),86cwc6r1j,61.0
REMOTE_MISSING (id not in ClickUp),AP:Bill payment appied to qb and bill.com and ap sheet,Onboarding Clients / Duvin_Garrett (F),86d0bkfg4,60.8
REMOTE_MISSING (id not in ClickUp),BB Chicago_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86d084qbh,60.7
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation (Kanika),Operations - Synergy / Blind_Adam (H),86d0dd03m,60.4
REMOTE_MISSING (id not in ClickUp),02. AR Management: Invoice to Scheels,Operations - Falcons /Smrtft_Rob (H),86cvrj02h,59.9
REMOTE_MISSING (id not in ClickUp),TMM - AP Management : Adding Bills and Payments,Operations - Falcons / Topo_Erin (H),86cuv2afk,59.2
NO_TASK (project-level only),(no task - project level),HR & Admin Task / Employee Engagement & Retention,,58.7
REMOTE_MISSING (id not in ClickUp),Inbox Management: Books updates according to Task,Archived Projects- Ledger Labs- / Nano_Chris,85zrpymhf,58.7
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Status & Queries: Books Status & Fixing Queries,Operations - Bravix / Dannik_Olga (F),86cuzqmd7,58.2
REMOTE_MISSING (id not in ClickUp),Team meeting,Admin-Operational Works,14385064,57.3
REMOTE_MISSING (id not in ClickUp),"Income Statement, balance sheet review",Operations - Bravix / EpicRise_Lin (H),86cx8gd1b,57.3
REMOTE_MISSING (id not in ClickUp),CC Reconciliation: CC Suspense,Operations - Syndicate / Optomec_Dan (H),86cytp4g7,57.2
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Upload missing Adjustment from AMZ,Operations - Bravix / SevenShopper_Lin (H),866amg8b2,57.2
NO_TASK (project-level only),(no task - project level),Archived Projects- Ledger Labs- / Nano_Chris,,56.7
REMOTE_MISSING (id not in ClickUp),Travis Loidolt_Bank & Card Reconcillation,Operations - Bravix / Mark Perlberg_CPA (F),86cvej5yc,56.6
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cztum51,56.5
REMOTE_MISSING (id not in ClickUp),Inventory & COGS: Reconcile COGS & Ending Inventory,Operations - Falcons / Quality_Harrison (H),86cwd6pzg,56.4
REMOTE_MISSING (id not in ClickUp),06. Sales Reconciliaton: Reconcile Sales Clearings,Operations - Falcons /Smrtft_Rob (H),86cvrhbfu,56.3
REMOTE_MISSING (id not in ClickUp),Payroll Management: Prepare Sheet Employee's hours & Recording in Software,Operations - Synergy / T1_Ward (F),85ywhnkk3,55.8
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Amazon Settlement Report Reconciliation,Operations - Bravix / SevenShopper_Lin (H),85yxeean0,55.5
REMOTE_MISSING (id not in ClickUp),Monthly: Audit- Books Review,Onboarding Clients / Duvin_Garrett (F),86cyuzdem,55.3
NO_TASK (project-level only),(no task - project level),Tracker- Billable Hours,,55.0
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Syndicate / Munission_Dan (F),320x44r,54.6
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Mavericks / Base_Bob (F),86cx8hwht,54.6
NO_TASK (project-level only),(no task - project level),Archived Projects- Ledger Labs- / Onboarding,,54.3
REMOTE_MISSING (id not in ClickUp),PTP - AP Management : Adding Bills and Payments,Operations - Falcons / Topo_Erin (H),86cvtp3af,54.2
REMOTE_MISSING (id not in ClickUp),NB - ClickUp & Task Management,Operations - Falcons / NB Tasks - Falcons,86czv9z6w,54.0
REMOTE_MISSING (id not in ClickUp),01. Inbox Management: Task Delegation & Follow up,Operations - Falcons /Smrtft_Rob (H),86cu24v7q,53.9
REMOTE_MISSING (id not in ClickUp),Commission Calculation,Onboarding Clients / Duvin_Garrett (F),86cwta4zu,53.8
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation : Intercompany,Operations - Syndicate / Health_David (F),86cvucmy1,53.4
REMOTE_MISSING (id not in ClickUp),Cash flow working,Onboarding Clients / DocsDiesel_Max,86cy7mhn5,53.2
REMOTE_MISSING (id not in ClickUp),HC_Processing New Invoices in Bill.com,Operations - Bravix / Finance Faheem_CPA (H),86cuhb3tg,52.8
REMOTE_MISSING (id not in ClickUp),BB Grooming_AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cv0fmjf,52.6
REMOTE_MISSING (id not in ClickUp),03. AP Management: Adding Bills & Payment Reconciliation,Operations - Falcons /Smrtft_Rob (H),86cvfvj8x,52.6
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / Mutrux_Tyson (H),,52.1
REMOTE_MISSING (id not in ClickUp),Email Management: Daily Email Manage,Onboarding Clients / Duvin_Garrett (F),86cwc115d,52.1
REMOTE_MISSING (id not in ClickUp),Bank Reconciliation: Maceoo HQ,Operations - Syndicate / Maceoo_Mehdi (F),85ztpp386,51.9
REMOTE_MISSING (id not in ClickUp),Travis Loidolt_Audit & Review,Operations - Bravix / Mark Perlberg_CPA (F),86cvej639,51.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 1002 C3 - Operating 8871,Archived Projects- Ledger Labs- / Nano_Chris,85zrtxzzw,51.7
REMOTE_MISSING (id not in ClickUp),BB Grooming_Update AP and AR sheet,Operations - Synergy / Blind_Adam (H),86cvd8je8,51.6
REMOTE_MISSING (id not in ClickUp),01. Bank & Credit Card Reconciliation: Monthly Auto Feeds Reconciliations,Operations - Falcons /Smrtft_Rob (H),86cvrhq2x,51.3
REMOTE_MISSING (id not in ClickUp),03. AP Management: Bills Add to AP sheet and folder,Operations - Falcons /Smrtft_Rob (H),86cua9b3d,51.3
REMOTE_MISSING (id not in ClickUp),WFH,Tax-Compliance Taks -(Common),14815212,51.3
REMOTE_MISSING (id not in ClickUp),IDream IT: Audit & Review,Operations - Synergy / IDream_Joseph (H),86cy0w6xd,51.0
REMOTE_MISSING (id not in ClickUp),Prepare 1099 report for filing,Operations - Synergy / Blind_Adam (H),86cxkfw3f,50.7
REMOTE_MISSING (id not in ClickUp),Payroll: Payroll run every Weekly,Operations - Synergy / Found_Bethany,85zt5xtkr,50.3
REMOTE_MISSING (id not in ClickUp),Sales & Fee Reconciliation:- Close all the Sales Order Correctly and Check invoice and item fulfillment Posting Period Mismatch,Operations - Bravix / SevenShopper_Lin (H),86cv2nwbw,50.3
REMOTE_MISSING (id not in ClickUp),Stripe Reconciliation - Raghav,Operations - Synergy / Blind_Adam (H),86cxe4xbg,50.2
REMOTE_MISSING (id not in ClickUp),AR & AP Management: AR & AP Sheet Verify & Create Sheet,Operations - Synergy / Found_Bethany,85zt5xya1,50.0
NO_REMOTE (native Hubstaff task),US Sales Tax & State Compliances ,Admin-Operational Works,,49.8
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / Blind_Adam (H),86d1fqvy9,49.8
REMOTE_MISSING (id not in ClickUp),Emails AP Management: Adding Bills received on Emails into Quickbooks,Operations - Syndicate / Health_David (F),86cy2xc2e,49.4
REMOTE_MISSING (id not in ClickUp),Accrued Revenue Audit,Archived Projects- Ledger Labs- / Nano_Chris,8678zb33d,49.3
REMOTE_MISSING (id not in ClickUp),Deposit Transfirst & Cash,Operations - Syndicate / Maceoo_Mehdi (F),86cu10bfh,49.2
REMOTE_MISSING (id not in ClickUp),AR Reconciliation: Daily Invoicing to Customers,"Ledger Labs, Inc. / Ponte_Shana",85yxgfe2t,49.2
REMOTE_MISSING (id not in ClickUp),Consolidated:-AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86d0c8ry8,49.1
REMOTE_MISSING (id not in ClickUp),Bank and Card Reconciliation,Operations - Bravix / Lola_Lola (F),86cy9twjg,48.6
REMOTE_MISSING (id not in ClickUp),SF_Checking AP Email,Operations - Bravix / Finance Faheem_CPA (H),86cuhb22y,48.4
REMOTE_MISSING (id not in ClickUp),Homecourt- Bill.com,Operations - Bravix / Finance Faheem_CPA (H),86cu5mfw2,47.9
REMOTE_MISSING (id not in ClickUp),Task verify,Operations - Bravix / EpicRise_Lin (H),86cx8tz4p,47.9
REMOTE_MISSING (id not in ClickUp),Amazon Sale and COGS,Operations - Bravix / EpicRise_Lin (H),86cx8gara,47.7
REMOTE_MISSING (id not in ClickUp),AWE: Sales Tax,Operations - Bravix / Finance Faheem_CPA (H),86cy28gaq,47.5
REMOTE_MISSING (id not in ClickUp),10. Tax Services: Prepare Sales Report for Sales Tax Return,Operations - Falcons /Smrtft_Rob (H),86cvewc4u,47.4
REMOTE_MISSING (id not in ClickUp),02. AR Management: Invoice to Rogue,Operations - Falcons /Smrtft_Rob (H),86cvrhu87,47.0
REMOTE_MISSING (id not in ClickUp),Bank & Credit Card Reconciliations,Operations - Falcons / Blake_Cole (H),86cze5jgy,46.6
REMOTE_MISSING (id not in ClickUp),Process & SOP,Admin-Operational Works,15322677,46.2
NO_REMOTE (native Hubstaff task),Missive inbox,Admin-Operational Works,,45.9
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / Macar_Ismail (H),,45.8
NO_REMOTE (native Hubstaff task),Training,Admin-Operational Works,,45.7
NO_TASK (project-level only),(no task - project level),Operations - Alliance / Cherry_Marc (F),,45.7
REMOTE_MISSING (id not in ClickUp),Email Management,Operations - Bravix / Mark Perlberg_CPA (F),86cun8fqu,45.7
REMOTE_MISSING (id not in ClickUp),IDream Recommerce: Audit & Review,Operations - Synergy / IDream_Joseph (H),86cvyxxpu,45.6
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Credit Card Reconciliation : Ink Chase Credit Card 9437,Operations - Bravix / Dannik_Olga (F),86cvagznf,45.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 2111 - Amex Business Gold- 81006/84000,Operations - Synergy / Found_Bethany,85zt5xtkp,45.5
REMOTE_MISSING (id not in ClickUp),01. Inbox Management: Task Delegation & Follow up,Operations - Falcons /Smrtft_Rob (H),85yx17xwn,45.3
REMOTE_MISSING (id not in ClickUp),Monthly: GL Review,Onboarding Clients / Duvin_Garrett (F),86cwt8fze,45.1
REMOTE_MISSING (id not in ClickUp),"Payroll: Payroll report data Request Weekly, Convert in Excel & Run Payroll",Operations - Synergy / Found_Bethany,314e9yk,45.1
REMOTE_MISSING (id not in ClickUp),Apartments.com,Operations - Bravix / CSProp_Lin (H),86cxbn70q,45.0
REMOTE_MISSING (id not in ClickUp),"Vendor Payment, Setup, Reconcilation with Bill.com",Archived Projects- Ledger Labs- / Nano_Chris,85ztx2uyk,44.7
REMOTE_MISSING (id not in ClickUp),Meeting With Lin on every Tuesday,Operations - Bravix / EpicRise_Lin (H),86cvf9zrx,44.5
REMOTE_MISSING (id not in ClickUp),BB Grooming_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cvr9zrx,44.5
REMOTE_MISSING (id not in ClickUp),Email management,Operations - Bravix / EpicRise_Lin (H),86cx8genh,44.4
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / Blind_Adam (H),86cx8u7jt,44.3
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Bravix / Wisoman_Sonal (F),85ywb8b8p,44.2
REMOTE_MISSING (id not in ClickUp),IDream IT: IDream_Weekly Reconciliation,Operations - Synergy / IDream_Joseph (H),86d0xr7ck,44.0
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Onboarding Clients / Panasun_Samar,86cv9wn34,43.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Wells Fargo chk_8812,Operations - Alliance / Elite_Lysha (F),85ywbpt2x,43.9
REMOTE_MISSING (id not in ClickUp),Task verify,Operations - Bravix / EpicRise_Lin (H),86d02dyb2,43.6
REMOTE_MISSING (id not in ClickUp),Bank and Card reconciliation,Operations - Bravix / CSProp_Lin (H),86cx6auwr,43.5
REMOTE_MISSING (id not in ClickUp),Commission-Weekly,Onboarding Clients / Duvin_Garrett (F),86d0e7utz,43.2
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Write off from Amazon Reimbursement Report,Operations - Bravix / SevenShopper_Lin (H),85yxhp1v6,43.2
NO_TASK (project-level only),(no task - project level),Operations - Mavericks / Shark_Zack,,43.1
REMOTE_MISSING (id not in ClickUp),NB - Training & Research (Abhishek),Operations - Synergy / Blind_Adam (H),86d0283rq,42.6
REMOTE_MISSING (id not in ClickUp),Email Management,Operations - Bravix / SevenShopper_Lin (H),85zu0tyv5,42.6
NO_REMOTE (native Hubstaff task),Missive Inbox review,Admin-Operational Works,,42.4
REMOTE_MISSING (id not in ClickUp),NB - Inbox Management & Task Delegation,Operations - Falcons / NB Tasks - Falcons,86czvajkh,42.2
REMOTE_MISSING (id not in ClickUp),BB Grooming_AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86curz3cw,42.0
REMOTE_MISSING (id not in ClickUp),"Email Managements: Checking Daily, Create Task & Response",Operations - Synergy / Found_Bethany,314e9x0,42.0
REMOTE_MISSING (id not in ClickUp),BB Philly:AP Management: Adding Bills & Payment Reconciliation,Operations - Synergy / Blind_Adam (H),314bcbk,41.9
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Syndicate / Whitehat_Gogi (H),30k8r8u,41.8
NO_TASK (project-level only),(no task - project level),Operations - Titans / Cen_Kevin,,41.8
REMOTE_MISSING (id not in ClickUp),Meeting with Team,Operations - Bravix / NB Tasks - Bravix,86d28w3an,41.6
REMOTE_MISSING (id not in ClickUp),Tax Return : 1099 filling,Operations - Synergy / Blind_Adam (H),85zrjptd9,41.5
NO_TASK (project-level only),(no task - project level),Onboarding Clients / Interactive_Jay,,41.3
REMOTE_MISSING (id not in ClickUp),Inbox Management: Daily Review & Response,"Ledger Labs, Inc. / Ponte_Shana",85yxtdea5,41.0
REMOTE_MISSING (id not in ClickUp),TMM - AR Management : Throughline Main Invoice,Operations - Falcons / Topo_Erin (H),86cvmw1bf,41.0
REMOTE_MISSING (id not in ClickUp),Mail & Communication-Bookkeeper,Operations - Bravix / EpicRise_Lin (H),86d0cdfwq,40.9
REMOTE_MISSING (id not in ClickUp),Peace Collective_AP email,Operations - Bravix / Finance Faheem_CPA (H),86cwzbnpv,40.8
REMOTE_MISSING (id not in ClickUp),Hostage Tape_Accounting package,Operations - Bravix / Finance Faheem_CPA (H),86cwzbpfe,40.8
REMOTE_MISSING (id not in ClickUp),Quality Control: Sales Clearing,Operations - Synergy / Blind_Adam (H),85zttknez,40.8
NO_TASK (project-level only),(no task - project level),Operations - Synergy / IDream_Joseph (H),,40.5
REMOTE_MISSING (id not in ClickUp),AP Management: Purchase clearing account reco,Operations - Synergy / T1_Ward (F),85zrxc9pq,40.4
REMOTE_MISSING (id not in ClickUp),Sales: Record sales,Operations - Synergy / Master_Lloyd : Antfam Hospitality LLC (H),86curvxhg,40.4
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills & Payment Reconciliation,Operations - Syndicate / Hooptech_Amy (F),30k8e09,40.3
REMOTE_MISSING (id not in ClickUp),AP AR Reconciliation,Onboarding Clients / Duvin_Garrett (F),86cwwwqd8,40.3
REMOTE_MISSING (id not in ClickUp),BB West_AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cv9k7fm,40.3
REMOTE_MISSING (id not in ClickUp),Audit & Review: Balance sheet & PL,Archived Projects- Ledger Labs- / Nano_Chris,85zrpymh2,40.2
NO_REMOTE (native Hubstaff task),Setting up Collections,Admin-Operational Works,,40.1
